gender,race_ethnicity,parent_level_of_education,lunch,test_prep_course,math_score,reading_score,writing_score,average_score,pass_npass
male,group E,high school,free/reduced,completed,76,61,61,66,1
female,group C,bachelor's degree,free/reduced,completed,62,68,74,68,1
female,group B,high school,free/reduced,none,58,62,54,58,1
female,group A,high school,standard,none,61,73,70,68,1
male,group B,bachelor's degree,standard,completed,88,82,82,84,1
female,group C,some college,standard,none,61,64,54,59.7,1
male,group D,high school,standard,completed,88,77,78,81,1
male,group E,some high school,free/reduced,none,57,45,46,49.3,0
female,group D,high school,standard,completed,92,95,93,93.3,1
male,group C,master's degree,standard,none,80,79,73,77.3,1
male,group A,some high school,standard,none,62,54,52,56,1
female,group D,some college,standard,none,71,74,80,75,1
female,group D,high school,free/reduced,none,54,58,63,58.3,1
male,group A,some college,free/reduced,none,43,43,40,42,0
female,group C,some college,standard,none,51,57,60,56,1
male,group C,some high school,standard,none,57,46,44,49,0
male,group C,some high school,standard,completed,62,71,62,65,1
female,group B,some high school,standard,none,48,59,55,54,1
male,group C,associate's degree,free/reduced,completed,61,69,62,64,1
female,group D,some high school,standard,completed,94,91,98,94.3,1
male,group B,some college,free/reduced,none,44,45,41,43.3,0
female,group C,associate's degree,standard,none,56,71,70,65.7,1
male,group D,associate's degree,free/reduced,none,68,69,55,64,1
male,group D,some college,free/reduced,none,61,53,48,54,1
female,group C,high school,standard,completed,49,68,67,61.3,1
female,group D,some college,standard,none,71,71,76,72.7,1
female,group E,some high school,standard,none,78,86,80,81.3,1
male,group D,associate's degree,standard,none,74,70,63,69,1
male,group C,high school,standard,none,66,63,63,64,1
male,group C,some high school,free/reduced,none,61,56,53,56.7,1
male,group D,some college,free/reduced,none,59,45,44,49.3,0
female,group B,high school,free/reduced,none,49,65,62,58.7,1
female,group B,associate's degree,free/reduced,none,61,68,67,65.3,1
female,group C,bachelor's degree,free/reduced,completed,54,57,63,58,1
female,group B,high school,free/reduced,completed,45,61,63,56.3,1
female,group D,bachelor's degree,free/reduced,completed,81,96,99,92,1
female,group B,associate's degree,standard,none,71,87,87,81.7,1
male,group B,associate's degree,standard,none,67,60,61,62.7,1
female,group D,some college,standard,none,56,53,58,55.7,1
female,group B,high school,free/reduced,completed,60,66,64,63.3,1
male,group D,associate's degree,standard,none,95,86,83,88,1
male,group B,some college,standard,none,60,59,53,57.3,1
male,group B,some college,standard,none,60,55,52,55.7,1
male,group B,bachelor's degree,standard,none,82,68,69,73,1
male,group B,some college,free/reduced,none,78,68,70,72,1
female,group C,associate's degree,standard,none,57,67,64,62.7,1
male,group A,some college,standard,none,72,77,67,72,1
female,group B,some high school,standard,none,37,51,43,43.7,0
male,group C,some college,standard,none,72,76,64,70.7,1
male,group B,some college,free/reduced,none,52,57,49,52.7,1
male,group A,high school,standard,completed,80,72,72,74.7,1
male,group D,associate's degree,standard,none,89,78,76,81,1
female,group C,some college,standard,completed,84,88,87,86.3,1
female,group B,some high school,standard,none,67,73,76,72,1
female,group B,master's degree,standard,completed,59,75,79,71,1
male,group C,some college,standard,completed,95,85,80,86.7,1
female,group B,master's degree,standard,none,71,68,68,69,1
female,group C,high school,standard,none,72,76,74,74,1
male,group E,high school,standard,completed,83,80,82,81.7,1
male,group E,some high school,standard,none,94,86,82,87.3,1
male,group B,some college,free/reduced,completed,58,57,58,57.7,1
male,group C,bachelor's degree,standard,completed,75,62,65,67.3,1
female,group B,some high school,free/reduced,none,65,83,77,75,1
female,group C,bachelor's degree,free/reduced,completed,68,78,83,76.3,1
female,group C,some high school,free/reduced,none,34,44,43,40.3,0
male,group E,some college,standard,none,97,96,89,94,1
female,group D,high school,standard,none,44,47,55,48.7,0
male,group D,some high school,standard,completed,60,57,60,59,1
female,group C,high school,free/reduced,completed,66,81,75,74,1
male,group E,high school,standard,none,96,94,93,94.3,1
female,group B,high school,free/reduced,none,39,60,52,50.3,1
male,group C,some college,free/reduced,none,56,57,62,58.3,1
male,group C,high school,standard,none,31,27,19,25.7,0
female,group C,bachelor's degree,standard,completed,74,79,84,79,1
male,group D,bachelor's degree,standard,completed,100,100,100,100,1
female,group A,high school,standard,completed,68,75,73,72,1
female,group C,associate's degree,free/reduced,completed,79,89,96,88,1
male,group E,bachelor's degree,free/reduced,none,62,69,60,63.7,1
female,group A,associate's degree,standard,none,72,85,81,79.3,1
female,group C,some college,standard,none,66,78,75,73,1
male,group C,high school,standard,completed,64,66,69,66.3,1
female,group C,some high school,standard,none,62,64,64,63.3,1
female,group E,bachelor's degree,free/reduced,completed,68,82,86,78.7,1
male,group C,some college,free/reduced,completed,70,75,74,73,1
female,group E,bachelor's degree,free/reduced,none,63,61,64,62.7,1
female,group D,high school,standard,completed,91,100,100,97,1
female,group D,some college,standard,none,58,62,63,61,1
male,group E,some college,standard,none,75,66,59,66.7,1
female,group C,associate's degree,free/reduced,none,44,55,61,53.3,1
female,group C,some college,free/reduced,none,68,64,64,65.3,1
male,group C,bachelor's degree,free/reduced,none,65,61,57,61,1
female,group D,some college,free/reduced,completed,66,71,87,74.7,1
male,group C,bachelor's degree,free/reduced,none,73,69,70,70.7,1
female,group B,associate's degree,free/reduced,none,67,76,76,73,1
female,group C,associate's degree,free/reduced,none,66,73,69,69.3,1
male,group E,some college,standard,none,81,78,68,75.7,1
male,group E,some high school,standard,none,77,62,57,65.3,1
female,group D,some college,free/reduced,none,43,48,53,48,0
female,group C,bachelor's degree,standard,none,58,70,72,66.7,1
male,group C,some college,free/reduced,none,65,77,70,70.7,1
male,group C,high school,standard,none,92,89,83,88,1
male,group D,some high school,standard,completed,56,48,54,52.7,1
female,group D,master's degree,standard,none,65,73,77,71.7,1
male,group D,associate's degree,standard,none,72,67,59,66,1
male,group D,some high school,standard,completed,100,84,87,90.3,1
female,group C,high school,standard,none,69,81,70,73.3,1
male,group D,some college,standard,completed,70,66,68,68,1
male,group E,high school,standard,none,90,80,78,82.7,1
male,group C,high school,standard,none,90,79,75,81.3,1
female,group D,high school,standard,completed,63,78,74,71.7,1
female,group D,associate's degree,standard,none,40,51,51,47.3,0
female,group A,high school,standard,none,64,72,66,67.3,1
male,group C,some college,standard,none,90,76,71,79,1
male,group C,some college,standard,none,76,74,73,74.3,1
male,group B,some college,free/reduced,none,42,48,33,41,0
female,group D,bachelor's degree,free/reduced,completed,45,68,71,61.3,1
male,group D,bachelor's degree,standard,none,76,65,70,70.3,1
male,group C,some high school,standard,completed,63,69,68,66.7,1
male,group E,some college,standard,completed,84,77,79,80,1
female,group A,bachelor's degree,free/reduced,none,62,75,73,70,1
female,group C,associate's degree,free/reduced,completed,69,76,82,75.7,1
male,group C,some high school,standard,none,77,79,76,77.3,1
male,group D,bachelor's degree,standard,none,63,65,58,62,1
male,group C,high school,standard,completed,72,67,67,68.7,1
male,group E,associate's degree,standard,none,75,68,68,70.3,1
female,group C,bachelor's degree,standard,none,61,66,71,66,1
female,group A,high school,standard,none,79,97,85,87,1
female,group D,high school,standard,none,53,66,64,61,1
male,group B,some college,standard,completed,77,68,66,70.3,1
male,group A,high school,free/reduced,none,44,49,43,45.3,0
male,group B,high school,standard,none,44,50,37,43.7,0
female,group C,associate's degree,standard,completed,71,84,88,81,1
female,group B,associate's degree,standard,completed,60,65,67,64,1
male,group B,some high school,standard,none,49,39,33,40.3,0
female,group A,high school,standard,completed,82,95,93,90,1
male,group E,master's degree,free/reduced,none,68,70,62,66.7,1
female,group D,some high school,free/reduced,none,58,63,65,62,1
female,group B,high school,standard,none,65,68,67,66.7,1
male,group C,associate's degree,standard,none,50,42,35,42.3,0
female,group D,associate's degree,free/reduced,completed,73,72,79,74.7,1
male,group D,some high school,free/reduced,completed,40,50,47,45.7,0
female,group C,some high school,free/reduced,completed,60,67,74,67,1
male,group C,associate's degree,free/reduced,none,57,58,51,55.3,1
male,group C,some college,free/reduced,none,57,60,57,58,1
female,group B,some high school,standard,none,83,86,89,86,1
male,group C,master's degree,standard,none,68,56,57,60.3,1
male,group D,bachelor's degree,standard,none,74,76,73,74.3,1
male,group B,master's degree,free/reduced,none,76,68,70,71.3,1
female,group C,some high school,free/reduced,none,38,45,44,42.3,0
female,group C,high school,standard,none,63,64,59,62,1
male,group E,bachelor's degree,free/reduced,none,87,79,72,79.3,1
male,group E,high school,free/reduced,none,81,84,78,81,1
female,group D,associate's degree,standard,none,84,90,90,88,1
female,group E,high school,free/reduced,completed,68,69,71,69.3,1
female,group A,some high school,free/reduced,none,57,70,71,66,1
female,group C,master's degree,standard,none,75,82,81,79.3,1
female,group C,high school,free/reduced,none,39,50,41,43.3,0
female,group D,some high school,standard,completed,54,77,78,69.7,1
male,group D,associate's degree,standard,none,71,73,69,71,1
male,group A,some college,standard,none,58,64,55,59,1
female,group D,associate's degree,standard,none,61,70,73,68,1
female,group D,associate's degree,standard,completed,82,85,94,87,1
female,group D,associate's degree,standard,completed,73,87,83,81,1
female,group D,some high school,standard,none,52,66,63,60.3,1
male,group B,some high school,free/reduced,none,33,47,32,37.3,0
male,group D,associate's degree,standard,completed,67,68,69,68,1
female,group B,some high school,free/reduced,none,61,80,82,74.3,1
female,group E,associate's degree,standard,completed,86,89,96,90.3,1
male,group D,bachelor's degree,standard,completed,98,96,100,98,1
male,group C,some college,standard,completed,72,56,63,63.7,1
male,group B,associate's degree,free/reduced,none,60,59,52,57,1
male,group C,some college,standard,none,66,68,62,65.3,1
male,group C,some high school,standard,completed,86,89,87,87.3,1
female,group B,high school,standard,none,45,52,51,49.3,0
female,group C,some high school,standard,none,75,86,84,81.7,1
female,group A,associate's degree,standard,none,51,69,65,61.7,1
female,group C,high school,standard,none,21,30,26,25.7,0
male,group D,high school,free/reduced,none,54,53,47,51.3,1
male,group D,high school,standard,none,83,78,74,78.3,1
male,group B,associate's degree,free/reduced,none,74,79,65,72.7,1
male,group C,bachelor's degree,standard,none,73,67,73,71,1
male,group D,some high school,free/reduced,completed,69,70,75,71.3,1
female,group C,some college,standard,none,81,93,94,89.3,1
male,group E,bachelor's degree,standard,completed,95,90,89,91.3,1
male,group E,some college,standard,completed,97,88,81,88.7,1
female,group C,master's degree,standard,completed,62,68,75,68.3,1
male,group C,some high school,standard,none,63,57,59,59.7,1
female,group D,high school,standard,completed,50,72,70,64,1
female,group D,some high school,standard,none,25,33,32,30,0
male,group D,some high school,standard,none,73,67,64,68,1
male,group D,associate's degree,free/reduced,completed,57,58,54,56.3,1
male,group C,high school,standard,none,64,62,61,62.3,1
female,group E,high school,standard,none,86,89,87,87.3,1
female,group D,associate's degree,free/reduced,none,62,65,69,65.3,1
male,group D,associate's degree,standard,none,97,94,91,94,1
female,group A,some college,standard,none,62,64,63,63,1
female,group E,some high school,standard,none,91,97,91,93,1
male,group C,associate's degree,free/reduced,completed,60,57,61,59.3,1
male,group E,high school,free/reduced,none,59,55,46,53.3,1
female,group D,associate's degree,standard,none,75,87,90,84,1
female,group C,master's degree,standard,completed,79,87,89,85,1
female,group C,associate's degree,free/reduced,completed,79,92,97,89.3,1
female,group A,high school,free/reduced,none,34,49,47,43.3,0
male,group D,some high school,free/reduced,none,49,49,43,47,0
female,group B,some college,standard,completed,47,58,56,53.7,1
male,group E,associate's degree,standard,none,78,73,65,72,1
male,group D,some high school,free/reduced,completed,46,53,54,51,1
male,group C,associate's degree,free/reduced,none,72,80,75,75.7,1
female,group D,associate's degree,free/reduced,none,45,61,57,54.3,1
